"hack_license","medallion","vendor_id","pickup_datetime","dropoff_datetime","trip_distance","trip_time_in_secs","passenger_count"," fare_amount"
"F40679BF0894FDCBE92FCBE6B0ACA777","9A2A4DE93176BFA71A481AE880E14AF7","CMT","2013-05-20 00:02:07","2013-05-20 00:15:38",1.7,810,1,10
"67CA8BB7C9398A215F802BDB458E108B","27669384D001067B3A5FA0334910AF17","CMT","2013-05-20 00:02:07","2013-05-20 00:17:23",4.4,915,1,16
"83C66E68EEF013AECB7B3CDB0FA1C28E","0318F7BBB8FF48688698F04016E67F49","CMT","2013-05-20 00:02:08","2013-05-20 00:07:06",1.3,298,2,6
"7BB8FABDDF236720F9E63827F9E3BC7A","A2E7E502CDDDF8A93C31242FAF732735","CMT","2013-05-20 00:02:08","2013-05-20 00:11:05",2.4,536,3,10
"87C9F90A6F5CB836DB211F932404D29A","6F61DA80F7D0777AC0DEEDD925A8A644","CMT","2013-05-20 00:02:08","2013-05-20 00:06:53",1.2,285,1,6.5
"FDCCB875BC202DA6D5BD759A4A5384ED","AD3BC489D59501123051E8FE7C7BAACE","CMT","2013-05-20 00:02:08","2013-05-20 00:23:24",11.6,1276,1,33.5
"468DC0014F3FD581913645332FABED21","612822F590032F7D3832E96CE3663368","CMT","2013-05-20 00:02:08","2013-05-20 00:15:28",2.3,799,1,11.5
"381656D8D52DBF98B46D20A2B951B891","9B9C6067028494C2E47DA7FDFA39E506","CMT","2013-05-20 00:02:09","2013-05-20 00:17:05",8.2,895,1,15.5
"08F944E76118632BE09B9D4B04C7012A","B0AB5BA680C17150BF1E298336ABF852","CMT","2013-05-20 00:02:09","2013-05-20 00:10:23",2.6,493,1,10.5
"93B163B2FABEDF2DA18F7187BB219529","62631C0EDC20E4204A4EE70ECE47AA86","CMT","2013-05-20 00:02:09","2013-05-20 00:10:08",0.7,479,1,7.5
"F7CE6C707A01D64FF2318F7865B7A509","7D99C30FCE69B1A9DD27E2AEAC9BFA0C","CMT","2013-05-20 00:02:11","2013-05-20 00:03:56",2.7,105,1,3.5
"77EA3AD47017A2411E6BED2D551F5165","230F7F844B4C9D648D4912AD4661D518","CMT","2013-05-20 00:02:12","2013-05-20 00:15:23",4.4,791,4,15.5
"F124519F27C1F7E68DBB3C7A31A9D7B6","D73C04EC32373572421032552C705E51","CMT","2013-05-20 00:02:12","2013-05-20 00:05:03",0.5,172,1,4.5
"96B398E5D88300F4708339838EC1AB87","B512339E333C538991208AC92F89F919","CMT","2013-05-20 00:02:12","2013-05-20 00:21:57",6.4,1184,1,20
"F15051A0F63B28656278397B7B787C38","585304E60FC8A70B9ACAC6F74887B970","CMT","2013-05-20 00:02:12","2013-05-20 00:17:06",4.5,894,1,16
"A8BA152AE9DCAA0F30B806732FB1690C","E1E2675F46577A598CC83F08D52A02AE","CMT","2013-05-20 00:02:13","2013-05-20 00:05:54",0.7,220,1,5.5
"B0FC7EA233A531269E50DBC45E6ECF93","26612F9B7D591C6A7995EBF839EAF5A6","CMT","2013-05-20 00:02:13","2013-05-20 00:04:02",0.6,109,1,4
"77481E1D42BECA28D41A713516D5A1F0","587CAD25EB42B1C565FEB54C2AF5DA1C","CMT","2013-05-20 00:02:14","2013-05-20 00:09:04",2.2,410,1,8.5
"CDEE1D89036C514DD92715FA4F6FE03C","F25AB7909A47B479918A17EB540CDD7F","CMT","2013-05-20 00:02:14","2013-05-20 00:09:03",1.1,408,1,6.5
"B465F8BA891355563A03FA6BC2E42320","6FE6DFF9A59C0B64BE0CA64EE2699F08","CMT","2013-05-20 00:02:15","2013-05-20 00:21:49",10.4,1171,1,31
"73BD14EAC2538704D31D7DED73314E7C","12B122F124806331F46F5427E23DDCFE","CMT","2013-05-20 00:02:16","2013-05-20 00:29:15",9.2,1617,3,30
"69230528336EF5F0C3EA1B848929A16B","5C811E599E288BF360A3168253AE2E75","CMT","2013-05-20 00:02:17","2013-05-20 00:10:34",3.4,496,1,10.5
"F4EB8E5B877DDC8A28A365EC4A9943B1","26F5CCF73B79456FBDB161F104E10E92","CMT","2013-05-20 00:02:18","2013-05-20 00:05:42",0.8,204,1,5
"643C351E6E2FBB6320F37B8AE785A5DA","A99372863CE950216DBE59449A88DC85","CMT","2013-05-20 00:02:18","2013-05-20 00:12:21",2.8,602,1,11
"9A67D4CEB0E3529B5F6343D6EC40A8FF","7B1A4B11D8DD853155FBEEEA693A0172","CMT","2013-05-20 00:02:18","2013-05-20 00:15:30",9,792,1,25.5
"0BAECEFE5A63EDEA80F90E8E7B410CA2","35B2F21FAF5E53F1EB17848E7DC82055","CMT","2013-05-20 00:02:21","2013-05-20 00:08:14",0.8,230,2,5
"15661F3540CB2AAFAE5A2E9488256A85","031D934D9488EF3096645D5A1B19A1B8","CMT","2013-05-20 00:02:22","2013-05-20 00:14:28",3.2,726,1,12.5
"ECC96C7DA288E12C72DD1A6A6961F705","25B987AB9F5FF5C4D634F386138792E3","CMT","2013-05-20 00:02:23","2013-05-20 00:18:03",3.5,939,3,14
"E0BC4469DE41CB9146AF71DF8390F841","FE5FF9991AB773C6819718221DFA7F89","CMT","2013-05-20 00:02:24","2013-05-20 00:12:34",3.1,609,1,11.5
"7B11141E7B08AC90EF005361AE1D3734","C169773A426583A84C4558975201EA41","CMT","2013-05-20 00:02:25","2013-05-20 00:06:01",1,217,1,5.5
"288F7AC30DF60E9A73CFEEE94ECF2899","CBD79352F830071878AA3D0CF064EA64","CMT","2013-05-20 00:02:26","2013-05-20 00:04:36",10.8,129,1,3.5
"78AF0265753324EA393256E800A1843B","AFD2D9C2266F42156487360D44F19B75","CMT","2013-05-20 00:02:27","2013-05-20 00:10:51",2.5,501,1,9.5
"3EFE7767E121746F3183F2B88E5F0170","3EF3B2DD3AFBC8AABDBF2BD9F37AD66E","CMT","2013-05-20 00:02:28","2013-05-20 00:17:05",3.6,875,1,13.5
"709490A8AD180DA97647D2F55DEEF4DF","69D3ACF9CEAD3386114387EF57BB02DF","CMT","2013-05-20 00:02:28","2013-05-20 00:26:16",15.5,1427,2,52
"7BA0F9ADB0EC5E5CB10297C59DFE6809","E94415B1E66A2B465692B2EC4CDBACC8","CMT","2013-05-20 00:02:29","2013-05-20 00:28:41",7.4,1571,2,25.5
"EB0F15210C0695CAC12FB9ED7CFF3DF2","7A4720A674F0EDBF9E71EB37EF0DB47B","CMT","2013-05-20 00:02:29","2013-05-20 00:09:18",1,409,2,7
"401A08E20517AF98A5A2DC72E684E803","7AAE4C25B0B7C30FF131643D298A9130","CMT","2013-05-20 00:02:30","2013-05-20 00:14:26",4.1,716,1,14
"2A4C162374BFC10F4E63C7DDA8BE87E4","F8702593C564A7AB232F793DAC9AA668","CMT","2013-05-20 00:02:30","2013-05-20 00:15:24",5.4,774,1,18
"59CD90CDA25190FCFE1617BD09B41583","E0975A5EDF7FC0C8EECA3979F61342F8","CMT","2013-05-20 00:02:31","2013-05-20 00:06:55",1.4,263,1,6
"11A3989B7BABB288FA3FA233E348C450","E05E952B2DA14C7E9F1D7DEB80667739","CMT","2013-05-20 00:02:32","2013-05-20 00:07:30",1.6,297,1,6.5
"D1A0471DF397FD17E1B990FB0BF3474D","27181823A68D5477182D677AD31C8A24","CMT","2013-05-20 00:02:32","2013-05-20 00:22:02",9,1170,2,27.5
"CE56A27F53ABF411094B6CD708BFBA96","69B9FC90EB1AC480E57A1CB2CC545B4C","CMT","2013-05-20 00:02:32","2013-05-20 00:11:37",1.7,456,2,8
"6BE7EBEF29341DC44E1D527FD64BA932","6D431EBCC5BCF005EE2C8BDE9E5168C7","CMT","2013-05-20 00:02:32","2013-05-20 00:24:10",8.4,1298,1,26.5
"AF8804E2950FD15BF8701C028258AC49","02EE0579D7AD9AD3217A704BFED12D53","CMT","2013-05-20 00:02:32","2013-05-20 00:08:23",0.9,351,2,6
"B3055BD79E9AA783312EC79515EC1883","807BACF7BB4E59C5121504D5BEB01D5A","CMT","2013-05-20 00:02:33","2013-05-20 00:07:33",1,299,1,6
"FCD2C03A60D84CE91A4DEB5E6A097FCF","75FEF473DB69BA7BC5D61F5635792E1E","CMT","2013-05-20 00:02:33","2013-05-20 00:04:54",0.7,141,1,4
"2E7E6AD63056E2857E49AFC0239D9216","9F1FEF916240E64AD4EC5B7883E6A435","CMT","2013-05-20 00:02:34","2013-05-20 00:14:50",4.2,736,1,14
"99869228AAA7EDB822EC525D094AC3BE","52B41D56F1DCBE602300BB141CFF4D84","CMT","2013-05-20 00:02:34","2013-05-20 00:09:00",10.2,386,1,7
